side,entry_time,exit_time,entry_price,exit_price,reason,pnl_pct,entry_year
SELL,2024-06-18 02:00:00,2024-06-20 07:00:00,65133.99,65948.57267812587,STOP,-1.2506260987939983,2024
SELL,2024-06-20 14:00:00,2024-06-21 08:00:00,65142.65,63995.83085436545,TAKE_PROFIT,1.7604735847168516,2024
SELL,2024-06-28 18:00:00,2024-06-30 07:00:00,60826.63,61405.176163097654,STOP,-0.9511395964196225,2024
SELL,2024-07-02 15:00:00,2024-07-03 03:00:00,62035.43,60987.357509120266,TAKE_PROFIT,1.6894740487488114,2024
SELL,2024-07-07 14:00:00,2024-07-08 00:00:00,56872.01,55678.28944364562,TAKE_PROFIT,2.0989596751624973,2024
BUY,2024-07-16 16:00:00,2024-07-17 16:00:00,64878.24,63873.83002110178,STOP,-1.5481461563973071,2024
BUY,2024-07-19 14:00:00,2024-07-19 17:00:00,65135.89,66584.8105213455,TAKE_PROFIT,2.2244580082432264,2024
BUY,2024-07-25 22:00:00,2024-07-26 13:00:00,65838.01,67570.72329129346,TAKE_PROFIT,2.6317825998894278,2024
BUY,2024-07-29 03:00:00,2024-07-29 14:00:00,69558.99,68893.02638792704,STOP,-0.957408398357955,2024
SELL,2024-08-02 15:00:00,2024-08-03 00:00:00,63157.95,61017.28374406846,TAKE_PROFIT,3.3893852728461535,2024
BUY,2024-08-12 15:00:00,2024-08-12 18:00:00,60299.99,59016.52152382457,STOP,-2.128472121098901,2024
SELL,2024-08-14 14:00:00,2024-08-15 06:00:00,59611.93,57875.70513092563,TAKE_PROFIT,2.9125459770793745,2024
SELL,2024-08-15 19:00:00,2024-08-15 20:00:00,57872.82,56093.244287192545,TAKE_PROFIT,3.074976669198865,2024
SELL,2024-08-19 00:00:00,2024-08-19 13:00:00,58427.35,58966.84757873425,STOP,-0.9233647918898398,2024
BUY,2024-08-19 23:00:00,2024-08-20 00:00:00,59240.99,60444.353795669216,TAKE_PROFIT,2.031302643101032,2024
SELL,2024-08-29 19:00:00,2024-09-01 14:00:00,59161.01,57469.30257463127,TAKE_PROFIT,2.8594972015669295,2024
SELL,2024-09-03 14:00:00,2024-09-04 00:00:00,58398.99,57237.585041214166,TAKE_PROFIT,1.988741515539621,2024
SELL,2024-09-05 10:00:00,2024-09-06 07:00:00,56797.0,55525.20565053281,TAKE_PROFIT,2.239192826147847,2024
SELL,2024-09-11 06:00:00,2024-09-11 13:00:00,56244.0,56942.55089817833,STOP,-1.2420007435074458,2024
BUY,2024-09-11 18:00:00,2024-09-13 15:00:00,57694.0,59451.30377685767,TAKE_PROFIT,3.045903866706536,2024
BUY,2024-09-17 11:00:00,2024-09-17 14:00:00,59235.99,60341.713735960286,TAKE_PROFIT,1.8666417763259933,2024
SELL,2024-10-07 23:00:00,2024-10-09 19:00:00,62471.08,60980.96830668849,TAKE_PROFIT,2.385282427183125,2024
BUY,2024-10-24 01:00:00,2024-10-24 09:00:00,67432.0,66760.27264518867,STOP,-0.9961551708555729,2024
BUY,2024-11-01 14:00:00,2024-11-01 15:00:00,71200.43,70447.34193612324,STOP,-1.0577015670786762,2024
SELL,2024-11-01 16:00:00,2024-11-01 16:00:00,69387.78,70356.93667242434,STOP,-1.3967252914336585,2024
SELL,2024-11-04 17:00:00,2024-11-05 04:00:00,67756.0,68499.59559295152,STOP,-1.097460878669813,2024
BUY,2024-11-25 06:00:00,2024-11-25 14:00:00,98082.69,97156.56804497387,STOP,-0.9442256885757623,2024
BUY,2024-11-27 16:00:00,2024-11-29 14:00:00,95556.0,98007.19560100485,TAKE_PROFIT,2.565192767596849,2024
BUY,2024-12-02 16:00:00,2024-12-02 17:00:00,97048.01,95951.41531067975,STOP,-1.1299507216276243,2024
BUY,2024-12-06 18:00:00,2024-12-06 23:00:00,100844.06,99058.10119909719,STOP,-1.771010410432512,2024
SELL,2024-12-26 09:00:00,2024-12-27 09:00:00,95878.56,97020.34941793169,STOP,-1.1908704281037321,2024
SELL,2024-12-30 22:00:00,2024-12-31 08:00:00,92076.0,93374.42271973641,STOP,-1.4101641250015302,2024
BUY,2024-12-31 14:00:00,2024-12-31 17:00:00,95587.12,94476.14958333992,STOP,-1.1622595352387137,2024
BUY,2025-01-20 07:00:00,2025-01-20 15:00:00,107482.36,104892.25893464031,STOP,-2.409791769886416,2025
BUY,2025-01-21 19:00:00,2025-01-22 13:00:00,106861.18,104595.33185705735,STOP,-2.1203660140592184,2025
BUY,2025-01-23 15:00:00,2025-01-23 15:00:00,105213.6,103597.11736719804,STOP,-1.5363818297273069,2025
