removed_top_winners,trades,wins,losses,win_rate_pct,simple_return_pct,compounded_return_pct,ending_equity,profit_factor,expectancy_pct,median_trade_pct,max_drawdown_pct,max_loss_streak,payoff_ratio,trade_sharpe,recovery_factor,average_clock_hours,scope,scenario,asset,market
1,12,5,7,41.66666666666667,2.209650103901297,1.637198760872522,101.63719876087252,1.1494735296766327,0.1841375086584414,-0.6119414942471205,-13.190399551810705,6,1.6092629415472859,0.1945478705971027,0.12412048281340927,24.0,FULL_AVAILABLE,FULL_COST,SOL,BYBIT_PERPETUAL
2,11,4,7,36.36363636363637,-3.4860145652927863,-3.839765728352006,96.160234271648,0.76418578640189,-0.31691041502661693,-0.8446231026498483,-13.923613492514109,7,1.3373251262033077,-0.3602762554664946,-0.27577365102934076,24.0,FULL_AVAILABLE,FULL_COST,SOL,BYBIT_PERPETUAL
3,10,3,7,30.0,-7.965359382272178,-7.962445170291133,92.03755482970887,0.46117696195022057,-0.7965359382272178,-1.1116389149234174,-13.92361349251413,7,1.076079577883848,-0.9771159751680873,-0.5718662884869685,24.0,FULL_AVAILABLE,FULL_COST,SOL,BYBIT_PERPETUAL
0,13,5,8,38.46153846153847,-2.020282279044771,-8.209548242877702,91.7904517571223,0.9571774652203507,-0.15540632915729008,-1.6506205573733477,-22.151111144644176,3,1.531483944352561,-0.05085458930436843,-0.3706156404195847,24.0,FULL_AVAILABLE,FULL_COST,XRP,BYBIT_PERPETUAL
1,12,4,8,33.33333333333333,-33.60235264440338,-30.240912380956246,69.75908761904375,0.2877540283759943,-2.8001960537002817,-3.0571899067218054,-30.240912380956242,3,0.5755080567519886,-1.6825678236768113,-1.0000000000000002,24.0,FULL_AVAILABLE,FULL_COST,XRP,BYBIT_PERPETUAL
2,11,3,8,27.27272727272727,-40.61840347857648,-34.81436936302288,65.18563063697712,0.1390396214940901,-3.692582134416044,-4.463759256070263,-34.81436936302288,3,0.37077232398424026,-2.3995981143853014,-1.0,24.0,FULL_AVAILABLE,FULL_COST,XRP,BYBIT_PERPETUAL
3,10,2,8,20.0,-45.870332739026644,-38.06704438103683,61.93295561896317,0.027718086999305298,-4.587033273902664,-5.007915641848646,-38.06704438103683,3,0.11087234799722119,-3.313511586272793,-1.0,24.0,FULL_AVAILABLE,FULL_COST,XRP,BYBIT_PERPETUAL
0,12,6,6,50.0,-11.932420384803656,-11.809062515257665,88.19093748474234,0.38230660642403735,-0.9943683654003047,0.026346034215694092,-14.276776185737095,2,0.38230660642403735,-1.0931146860816927,-0.8271518977131024,24.0,FULL_AVAILABLE,FULL_COST,BNB,BYBIT_PERPETUAL
1,11,5,6,45.45454545454545,-14.215279784487697,-13.777403171606323,86.22259682839368,0.264132160320593,-1.2922981622261542,-0.435423037716611,-14.276776185737095,2,0.31695859238471163,-1.3725546812375307,-0.9650220044333496,24.0,FULL_AVAILABLE,FULL_COST,BNB,BYBIT_PERPETUAL
2,10,4,6,40.0,-16.07563010295904,-15.352149723798775,84.64785027620123,0.16782930939856738,-1.607563010295904,-1.0072776751205768,-15.842402322154713,3,0.25174396409785105,-1.6390146166408976,-0.9690544029632205,24.0,FULL_AVAILABLE,FULL_COST,BNB,BYBIT_PERPETUAL
3,9,3,6,33.33333333333333,-17.595603647932588,-16.619511096797083,83.38048890320292,0.08914639454450389,-1.9550670719925098,-1.5791323125245424,-17.102423553564773,3,0.17829278908900778,-1.9065541935805785,-0.9717635073616784,24.0,FULL_AVAILABLE,FULL_COST,BNB,BYBIT_PERPETUAL
0,25,13,12,52.0,13.038249089489286,12.934358752329999,112.93435875233,1.706595237130793,0.5215299635795714,0.19190313437710035,-7.369868100918442,3,1.5753186804284243,0.9786010719507366,1.7550325969494764,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BINANCE_SPOT
1,24,12,12,50.0,6.270731417482795,5.7759524757971406,105.77595247579714,1.3398361944543373,0.26128047572844976,0.06647508767413068,-9.356030100658884,3,1.3398361944543373,0.5388695045408423,0.6173507795138857,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BINANCE_SPOT
2,23,11,12,47.82608695652174,1.4834234963202348,0.9434773869545552,100.94347738695456,1.0803926945982931,0.0644966737530537,-0.05895295902883899,-9.356030100658884,3,1.1786102122890472,0.13934847827202956,0.10084163654925739,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BINANCE_SPOT
