year,trades,wins,losses,win_rate_pct,simple_return_pct,compounded_return_pct,ending_equity,profit_factor,expectancy_pct,median_trade_pct,max_drawdown_pct,max_loss_streak,payoff_ratio,trade_sharpe,recovery_factor,average_clock_hours,scope,scenario,asset,market
2022,4,2,2,50.0,1.9027281269519967,1.710585063607553,101.71058506360755,1.4917112083280906,0.47568203173799917,-0.3839773461900106,-3.024981849862074,1,1.4917112083280906,0.2560822557059206,0.5654860585975245,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,SOL,BYBIT_PERPETUAL
2023,3,0,3,0.0,-5.681891484449175,-5.607887809634136,94.39211219036586,0.0,-1.893963828149725,-1.3786547271969865,-5.607887809634137,3,0.0,-1.7948670101873945,-0.9999999999999997,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,SOL,BYBIT_PERPETUAL
2025,3,1,2,33.33333333333333,-0.8154337537962055,-0.9763225971423708,99.02367740285763,0.844126729382939,-0.27181125126540184,-2.2610944752208573,-5.164228088529443,2,1.688253458765878,-0.11552634599276047,-0.18905489463390196,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,SOL,BYBIT_PERPETUAL
2026,2,2,0,100.0,8.292985684011056,8.431737795450005,108.43173779545,inf,4.146492842005528,4.146492842005528,0.0,0,inf,2.276303576438288,inf,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,SOL,BYBIT_PERPETUAL
2021,2,1,1,50.0,-1.094375345431164,-1.6634069690603042,98.3365930309397,0.8650656178607173,-0.547187672715582,-0.547187672715582,-8.11042617960428,1,0.8650656178607173,-0.0723483296496861,-0.20509489048101592,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,XRP,BYBIT_PERPETUAL
2022,3,1,2,33.33333333333333,-8.92401288930312,-8.838421133813938,91.16157886618606,0.048362008392683405,-2.97467096310104,-1.6506205573733477,-8.838421133813934,1,0.09672401678536681,-1.212900301375076,-1.0000000000000004,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,XRP,BYBIT_PERPETUAL
2023,5,3,2,60.0,19.693084336572404,15.505824109790183,115.50582410979018,2.094359150848414,3.938616867314481,0.8541682455475504,-12.443011507156887,1,1.3962394338989426,0.5231000376568693,1.2461472129051434,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,XRP,BYBIT_PERPETUAL
2024,1,0,1,0.0,-4.463759256070263,-4.4637592560702615,95.53624074392974,0.0,-4.463759256070263,-4.463759256070263,-4.463759256070265,1,0.0,0.0,-0.9999999999999992,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,XRP,BYBIT_PERPETUAL
2025,1,0,1,0.0,-6.933484390735151,-6.93348439073516,93.06651560926484,0.0,-6.933484390735151,-6.933484390735151,-6.933484390735156,1,0.0,0.0,-1.0000000000000004,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,XRP,BYBIT_PERPETUAL
2021,1,0,1,0.0,-3.7221452939996005,-3.7221452939996027,96.2778547060004,0.0,-3.7221452939996005,-3.7221452939996005,-3.7221452939996014,1,0.0,0.0,-1.0000000000000004,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BNB,BYBIT_PERPETUAL
2023,2,1,1,50.0,1.4249272807547313,1.4168268868858718,101.41682688688587,4.272512378369206,0.7124636403773656,0.7124636403773656,-0.43542303771659796,1,4.272512378369206,0.6206741954357248,3.253908875184588,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BNB,BYBIT_PERPETUAL
2024,2,1,1,50.0,-1.4549999947220547,-1.4687224018943539,98.53127759810565,0.3092636738916112,-0.7274999973610273,-0.7274999973610273,-2.1064477713508056,1,0.3092636738916112,-0.5275761787961837,-0.6972508038746689,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BNB,BYBIT_PERPETUAL
2025,5,2,3,40.0,-11.045602880216036,-10.897896204577208,89.10210379542279,0.15383300932926086,-2.2091205760432073,-1.5791323125245424,-11.25690464241087,2,0.23074951399389126,-1.1912878677775929,-0.9681077126227859,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BNB,BYBIT_PERPETUAL
2026,2,2,0,100.0,2.8654005033793037,2.8786990977220484,102.87869909772205,inf,1.4327002516896519,1.4327002516896519,0.0,0,inf,1.6852141802738183,inf,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BNB,BYBIT_PERPETUAL
